Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,,,,,
justinbieber,,,,,
BarackObama,,,,,
Taylorswift13,,,,,
rihanna,,,,,
youtube,,,,,
theellenshow,,,,,
